cod_dane,Municipio,Departamento,SubPDET,n_edificios_goo,area_total_goo,area_prom_goo,n_edificios_ms,area_total_ms,area_prom_ms
19455,MIRANDA,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,8973.0,1152499.81,128.44,0.0,0.0,0.0
19473,MORALES,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,26515.0,1855717.3,69.99,0.0,0.0,0.0
19532,PATÍA,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,15391.0,1414769.37,91.92,0.0,0.0,0.0
19548,PIENDAMÓ,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,26008.0,2503284.78,96.25,0.0,0.0,0.0
19698,SANTANDER DE QUILICHAO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,30564.0,3588799.88,117.42,0.0,0.0,0.0
19780,SUÁREZ,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,12288.0,834611.74,67.92,0.0,0.0,0.0
19809,TIMBIQUÍ,CAUCA,PACÍFICO MEDIO,5267.0,427126.03,81.09,0.0,0.0,0.0
19821,TORIBIO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,9799.0,726449.8,74.14,0.0,0.0,0.0
20001,VALLEDUPAR,CESAR,SIERRA NEVADA - PERIJÁ,141586.0,14440557.18,101.99,0.0,0.0,0.0
20013,AGUSTÍN CODAZZI,CESAR,SIERRA NEVADA - PERIJÁ,29657.0,2562953.35,86.42,0.0,0.0,0.0
20045,BECERRIL,CESAR,SIERRA NEVADA - PERIJÁ,10953.0,866578.84,79.12,0.0,0.0,0.0
20400,LA JAGUA DE IBIRICO,CESAR,SIERRA NEVADA - PERIJÁ,17283.0,1541656.7,89.2,0.0,0.0,0.0
20443,MANAURE BALCÓN DEL CESAR,CESAR,SIERRA NEVADA - PERIJÁ,5095.0,435958.17,85.57,0.0,0.0,0.0
20570,PUEBLO BELLO,CESAR,SIERRA NEVADA - PERIJÁ,13010.0,906988.04,69.71,0.0,0.0,0.0
20621,LA PAZ,CESAR,SIERRA NEVADA - PERIJÁ,16744.0,1273841.64,76.08,0.0,0.0,0.0
