Location,QuadKey,Url,Size,UploadDate
Colombia,32231232,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231232/part-00187-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,550.0KB,2026-02-23
Colombia,32231233,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231233/part-00108-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,138.4KB,2026-02-23
Colombia,32231320,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231320/part-00066-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,50.7KB,2026-02-23
Colombia,32231322,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231322/part-00149-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,149.2KB,2026-02-23
Colombia,32231323,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231323/part-00194-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,17.8KB,2026-02-23
Colombia,32231332,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231332/part-00126-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,54.3KB,2026-02-23
Colombia,32231333,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231333/part-00034-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,165.1KB,2026-02-23
Colombia,32232001,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232001/part-00007-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,161.1KB,2026-02-23
Colombia,32232003,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232003/part-00058-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,25.3KB,2026-02-23
Colombia,32232010,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232010/part-00158-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,906.8KB,2026-02-23
